v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,minp,dist,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,
77.3909,1.25976,12.1493,4.06274,1.04062,10.8064,0.439525,0.0645031,0.464039,1.9651,0.112247,0.76864,38.6848,0.972699,0.991267,0.958232,0.941638,0.916515,0.879151,0.970105,0.964634,0.963559,0.942517,0.806823,0.781233,0.76864,0.823701,0.80711,
77.654,2.16031,17.448,1.45746,1.7614,15.0661,0.0639628,0.775854,0.972419,1.46002,1.98494,0.739305,65.3601,0.960366,0.942211,0.922171,0.903282,0.875307,0.94016,0.90213,0.880216,0.867873,0.83886,0.784546,0.761907,0.739305,0.74486,0.750318,
70.7906,0.169582,14.7123,2.88651,0.986547,6.45593,0.0494175,3.22238,1.23873,2.02537,1.29767,0.710894,77.5708,0.944047,0.929039,0.910884,0.892727,0.863919,0.890696,0.868006,0.851543,0.843435,0.812287,0.780982,0.761006,0.739227,0.742638,0.710894,
78.9733,0.322172,10.9204,3.67942,0.665834,19.8837,0.211248,0.992226,0.28495,2.47256,1.37265,0.74755,50.1766,0.98323,0.968002,0.949539,0.931903,0.90506,0.953622,0.927176,0.912682,0.911637,0.882578,0.79701,0.777988,0.768031,0.777244,0.74755,
72.5568,1.77424,16.8518,4.18369,1.56662,0.12232,0.0163267,1.7745,1.58675,1.54912,0.286165,0.703112,88.2364,0.933727,0.918855,0.900897,0.882364,0.853986,0.870769,0.846282,0.829323,0.821213,0.789807,0.774554,0.753333,0.731208,0.732197,0.703112,
73.3757,0.259709,9.07005,2.40874,0.493175,15.2511,0.378318,2.98916,0.388052,1.11291,1.2521,0.716039,57.5976,0.906656,0.927334,0.948011,0.969821,0.99781,0.716039,0.751289,0.764796,0.769208,0.803305,0.8696,0.870022,0.92631,0.942415,0.919124,
75.8066,1.29729,18.0029,3.36006,0.528787,14.1356,0.146657,2.14137,0.514073,2.73078,1.81548,0.718279,71.9059,0.974977,0.952731,0.926931,0.904236,0.877183,0.930075,0.895531,0.864664,0.843963,0.81403,0.784501,0.762528,0.73819,0.738135,0.718279,
73.517,0.16952,19.1834,2.02382,0.677939,0.125817,0.255287,1.29065,1.79484,0.816704,0.51899,0.679013,61.7353,0.926139,0.94783,0.96631,0.987922,0.974841,0.679013,0.734042,0.757311,0.77107,0.818303,0.916434,0.901865,0.885132,0.895224,0.894938,
76.6272,2.21196,18.4727,2.79209,0.28907,12.3552,0.144347,0.297655,1.31698,2.30018,1.1853,0.746533,52.1868,0.993903,0.97419,0.947123,0.927475,0.903199,0.96019,0.975763,0.921843,0.889979,0.866911,0.80001,0.774128,0.746533,0.747134,0.779931,
73.8809,2.22614,19.4166,0.229185,1.64227,9.14459,0.0288421,3.07121,0.808129,1.82555,1.95721,0.711803,82.6655,0.942552,0.926039,0.906632,0.887657,0.859462,0.889171,0.861896,0.840541,0.829503,0.797895,0.777551,0.755908,0.733086,0.732918,0.711803,
